,,Pais,level_1,date,/m/06k1r,isPartial,log,cycle,trend
CO,661,CO,25,2012-02-01,0.0,False,-4.605170185988091,-0.009904723299718476,-4.595265462688372
CO,662,CO,26,2012-03-01,0.0,False,-4.605170185988091,-0.012906371174628894,-4.592263814813462
CO,663,CO,27,2012-04-01,0.0,False,-4.605170185988091,-0.013416930560529394,-4.5917532554275615
CO,664,CO,28,2012-05-01,0.0,False,-4.605170185988091,-0.012381992278013065,-4.592788193710078
CO,665,CO,29,2012-06-01,0.0,False,-4.605170185988091,-0.010523531638333417,-4.5946466543497575
CO,666,CO,30,2012-07-01,0.0,False,-4.605170185988091,-0.008357157414780936,-4.59681302857331
CO,667,CO,31,2012-08-01,0.0,False,-4.605170185988091,-0.006223086186675886,-4.598947099801415
CO,668,CO,32,2012-09-01,0.0,False,-4.605170185988091,-0.004322248576428045,-4.600847937411663
CO,669,CO,33,2012-10-01,0.0,False,-4.605170185988091,-0.0027518571033366968,-4.602418328884754
CO,670,CO,34,2012-11-01,0.0,False,-4.605170185988091,-0.0015370868104271906,-4.603633099177664
CO,671,CO,35,2012-12-01,0.0,False,-4.605170185988091,-0.000657248455667947,-4.604512937532423
CO,672,CO,36,2013-01-01,0.0,False,-4.605170185988091,-6.603468352484043e-05,-4.605104151304566
CO,673,CO,37,2013-02-01,0.0,False,-4.605170185988091,0.0002938160024656966,-4.605464001990557
CO,674,CO,38,2013-03-01,0.0,False,-4.605170185988091,0.00048066567682525374,-4.605650851664916
CO,675,CO,39,2013-04-01,0.0,False,-4.605170185988091,0.0005479794807037308,-4.605718165468795
CO,676,CO,40,2013-05-01,0.0,False,-4.605170185988091,0.0005412114606331286,-4.605711397448724
CO,677,CO,41,2013-06-01,0.0,False,-4.605170185988091,0.0004966826718026951,-4.605666868659894
CO,678,CO,42,2013-07-01,0.0,False,-4.605170185988091,0.0004416939783924434,-4.605611879966483
CO,679,CO,43,2013-08-01,0.0,False,-4.605170185988091,0.00039526820004898156,-4.60556545418814
CO,680,CO,44,2013-09-01,0.0,False,-4.605170185988091,0.00036906659011393117,-4.605539252578205
CO,681,CO,45,2013-10-01,0.0,False,-4.605170185988091,0.00036816259859673295,-4.605538348586688
CO,682,CO,46,2013-11-01,0.0,False,-4.605170185988091,0.0003914785656711217,-4.605561664553762
CO,683,CO,47,2013-12-01,0.0,False,-4.605170185988091,0.0004318007882027075,-4.605601986776294
CO,684,CO,48,2014-01-01,0.0,False,-4.605170185988091,0.00047539092029413865,-4.605645576908385
CO,685,CO,49,2014-02-01,0.0,False,-4.605170185988091,0.0005013139362475272,-4.605671499924338
CO,686,CO,50,2014-03-01,0.0,False,-4.605170185988091,0.00048071162835672254,-4.605650897616448
CO,687,CO,51,2014-04-01,0.0,False,-4.605170185988091,0.0003763705566450781,-4.605546556544736
CO,688,CO,52,2014-05-01,0.0,False,-4.605170185988091,0.0001430654206648896,-4.605313251408756
CO,689,CO,53,2014-06-01,0.0,False,-4.605170185988091,-0.00027070192264400106,-4.604899484065447
CO,690,CO,54,2014-07-01,0.0,False,-4.605170185988091,-0.0009188140400189226,-4.604251371948072
CO,691,CO,55,2014-08-01,0.0,False,-4.605170185988091,-0.001850641799485686,-4.603319544188605
CO,692,CO,56,2014-09-01,0.0,False,-4.605170185988091,-0.0031002425017341295,-4.602069943486357
CO,693,CO,57,2014-10-01,0.0,False,-4.605170185988091,-0.004670829417460887,-4.60049935657063
CO,694,CO,58,2014-11-01,0.0,False,-4.605170185988091,-0.006513945108998165,-4.598656240879093
CO,695,CO,59,2014-12-01,0.0,False,-4.605170185988091,-0.008503284981726367,-4.5966669010063645
CO,696,CO,60,2015-01-01,0.0,False,-4.605170185988091,-0.010403978689203619,-4.594766207298887
CO,697,CO,61,2015-02-01,0.0,False,-4.605170185988091,-0.011839434468627452,-4.5933307515194635
CO,698,CO,62,2015-03-01,0.0,False,-4.605170185988091,-0.012259660912374848,-4.592910525075716
CO,699,CO,63,2015-04-01,0.0,False,-4.605170185988091,-0.010917342705008437,-4.5942528432830825
CO,700,CO,64,2015-05-01,0.0,False,-4.605170185988091,-0.006860836849221563,-4.598309349138869
CO,701,CO,65,2015-06-01,0.0,False,-4.605170185988091,0.0010434553640452648,-4.606213641352136
CO,702,CO,66,2015-07-01,0.0,False,-4.605170185988091,0.014043479924670699,-4.619213665912762
